tx_id,team_code,expense_category,amount,fiscal_quarter
300056,T106,Consulting,12939.87,Q4
300057,T111,Software,32601.68,Q4
300058,T101,Travel,17992.34,Q3
300059,T103,Training,17416.58,Q2
300060,T112,Training,18896.25,Q3
300061,T104,Training,28686.15,Q1
300062,T108,Software,44597.1,Q2
300063,T119,Consulting,24386.35,Q4
300064,T104,Personnel,21686.51,Q4
300065,T105,Consulting,40507.67,Q4
300066,T108,Personnel,26526.43,Q3
300067,T106,Consulting,20925.09,Q2
300068,T116,Office,-1037.29,Q3
300069,T116,Travel,34114.81,Q3
300070,T113,Travel,-2684.82,Q2
300071,T106,Hardware,24757.87,Q4
300072,T107,Office,46261.96,Q3
300073,T109,Travel,-2989.5,Q3
300074,T114,Software,29004.27,Q4
300075,T113,Office,48374.52,Q3
300076,T110,Training,26174.71,Q1
300077,T113,Personnel,32964.21,Q3
300078,T107,Consulting,44909.71,Q2
300079,T110,Hardware,11645.69,Q3
300080,T115,Personnel,31703.44,Q2
300081,T117,Hardware,6054.53,Q2
300082,T101,Training,43816.55,Q3
300083,T101,Office,20107.6,Q4
300084,T107,Consulting,39635.95,Q1
300085,T101,Hardware,9233.31,Q3
300086,T101,Travel,42642.41,Q2
300087,T103,Travel,13949.22,Q1
300088,T115,Office,45918.16,Q4
300089,T118,Training,45968.67,Q1
300090,T106,Hardware,44139.36,Q4
300091,T118,Hardware,4467.65,Q1
300092,T114,Travel,34962.74,Q4
300093,T110,Travel,3808.54,Q4
300094,T108,Travel,37135.85,Q3
300095,T118,Hardware,11711.11,Q1
300096,T103,Travel,41436.9,Q1
300097,T111,Travel,-3976.98,Q2
300098,T101,Office,7943.59,Q3
300099,T106,Software,39882.56,Q3
300100,T107,Hardware,15415.79,Q3
300101,T103,Office,23864.82,Q4
300102,T104,Hardware,5572.11,Q2
300103,T111,Hardware,4578.96,Q3
300104,T119,Consulting,11363.34,Q1
300105,T115,Travel,18138.84,Q4
300106,T114,Training,14498.78,Q2
300107,T118,Training,48254.22,Q3
300108,T119,Personnel,6307.6,Q4
300109,T103,Software,21231.93,Q3
300110,T118,Consulting,39763.17,Q3
300111,T114,Travel,28047.04,Q4
300112,T109,Hardware,21487.21,Q1
300113,T113,Personnel,22801.62,Q4
300114,T116,Office,35781.33,Q4
300115,T103,Software,17697.8,Q3
300116,T102,Training,2915.69,Q2
300117,T107,Office,869.5,Q3
300118,T117,Training,47382.13,Q2
300119,T109,Office,43253.31,Q3
300120,T108,Training,2520.88,Q1
300121,T109,Office,29297.71,Q3
300122,T112,Consulting,35420.15,Q4
300123,T113,Personnel,44928.2,Q4
300124,T104,Personnel,32449.57,Q3
300125,T119,Personnel,30341.0,Q2
300126,T108,Consulting,42165.71,Q3
300127,T119,Software,8044.43,Q3
300128,T105,Travel,27971.11,Q4
300129,T113,Consulting,40075.64,Q3
300130,T107,Training,30518.56,Q4
300131,T119,Personnel,22217.65,Q2
300132,T112,Training,32365.76,Q4
300133,T114,Training,47835.02,Q2
300134,T118,Hardware,33433.05,Q3
300135,T118,Office,40558.97,Q3
300136,T106,Office,46231.99,Q1
300137,T114,Travel,7767.51,Q2
300138,T102,Consulting,-4428.35,Q2
300139,T119,Consulting,37048.97,Q2
300140,T114,Travel,28366.15,Q2
300141,T105,Travel,46365.7,Q2
300142,T102,Office,7942.02,Q1
300143,T112,Consulting,11199.02,Q1
300144,T115,Consulting,19919.44,Q3
300145,T101,Travel,2558.08,Q4
300146,T110,Hardware,36859.81,Q4
300147,T103,Consulting,43721.19,Q3
300148,T114,Consulting,744.99,Q1
300149,T112,Office,35516.94,Q3
300150,T102,Office,27711.24,Q4
300151,T107,Software,32097.89,Q3
300152,T119,Hardware,5687.94,Q3
300153,T118,Travel,22938.87,Q4
300154,T110,Office,27960.46,Q4
300155,T101,Hardware,5398.33,Q3
300156,T103,Personnel,34410.57,Q1
300157,T116,Personnel,12763.0,Q3
300158,T112,Consulting,38348.29,Q4
300159,T101,Software,5234.18,Q1
300160,T107,Software,16673.6,Q4
300161,T119,Travel,6083.86,Q4
300162,T114,Software,5331.27,Q1
300163,T111,Hardware,8547.74,Q4
300164,T106,Software,14037.86,Q2
300165,T117,Consulting,33523.14,Q1
300166,T104,Office,9214.73,Q1
300167,T111,Software,28723.16,Q4
300168,T116,Consulting,569.9,Q1
300169,T110,Travel,36359.85,Q1
300170,T110,Training,49810.29,Q1
300171,T102,Hardware,12807.42,Q2
300172,T108,Hardware,22137.62,Q1
300173,T105,Consulting,28247.49,Q1
300174,T116,Travel,34455.22,Q4
300175,T107,Travel,33776.44,Q3
300176,T111,Consulting,32060.23,Q2
300177,T103,Software,-1671.21,Q4
300178,T111,Consulting,7050.8,Q1
300179,T107,Training,24594.07,Q1
300180,T113,Travel,9547.75,Q1
300181,T111,Consulting,28474.51,Q2
300182,T113,Office,45162.34,Q1
300183,T115,Office,17699.91,Q4
300184,T101,Office,42479.63,Q3
300185,T108,Hardware,5166.84,Q3
300186,T119,Personnel,23667.08,Q2
300187,T119,Hardware,2856.66,Q2
300188,T118,Travel,36234.04,Q2
300189,T105,Travel,19459.63,Q2
300190,T116,Hardware,3629.57,Q4
300191,T114,Software,17367.36,Q1
300192,T107,Software,1628.45,Q4
300193,T108,Travel,15757.71,Q3
300194,T116,Consulting,2500.99,Q3
300195,T119,Travel,41241.07,Q2
300196,T108,Travel,40781.99,Q3
300197,T105,Training,7454.3,Q3
300198,T115,Travel,4928.32,Q3
300199,T104,Office,15831.49,Q3
300200,T106,Hardware,35635.32,Q1
300201,T106,Personnel,-3989.3,Q1
300202,T106,Training,32313.26,Q2
300203,T106,Personnel,24559.05,Q1
300204,T114,Consulting,33644.36,Q3
300205,T106,Travel,39284.27,Q4
300206,T114,Software,45175.84,Q1
300207,T104,Consulting,16444.41,Q1
300208,T109,Travel,21131.88,Q4
300209,T106,Software,31258.99,Q3
300210,T105,Travel,28347.06,Q1
300211,T110,Office,31067.62,Q4
300212,T112,Office,3093.31,Q4
300213,T111,Office,16737.39,Q3
300214,T113,Office,6816.12,Q4
300215,T115,Training,37492.26,Q3
300216,T110,Hardware,40966.58,Q4
300217,T105,Software,12622.34,Q3
300218,T116,Training,7734.89,Q1
300219,T106,Personnel,1173.35,Q4
300220,T113,Consulting,11913.34,Q3
300221,T106,Consulting,2597.23,Q2
300222,T115,Hardware,42064.38,Q4
300223,T103,Consulting,38756.34,Q2
300224,T106,Hardware,39164.24,Q3
300225,T119,Hardware,32554.01,Q1
300226,T102,Office,-4853.06,Q3
300227,T115,Travel,39203.06,Q4
300228,T105,Office,26236.34,Q4
300229,T117,Training,33929.12,Q4
300230,T110,Software,45536.55,Q3
300231,T112,Training,34569.26,Q1
300232,T119,Office,38085.52,Q2
300233,T115,Hardware,8935.89,Q3
300234,T112,Personnel,33275.61,Q3
300235,T115,Software,32942.07,Q4
300236,T104,Office,23715.77,Q2
300237,T113,Personnel,16056.83,Q1
300238,T111,Travel,36379.42,Q3
300239,T110,Travel,22868.17,Q2
300240,T101,Hardware,23455.36,Q1
300241,T101,Software,35412.53,Q3
300242,T118,Travel,12412.75,Q4
300243,T111,Training,35739.71,Q4
300244,T116,Travel,20165.02,Q1
300245,T111,Training,28047.93,Q2
300246,T108,Travel,17791.8,Q3
300247,T103,Hardware,10025.68,Q3
300248,T105,Software,48657.45,Q3
300249,T111,Consulting,41432.51,Q2
300250,T105,Consulting,40470.27,Q1
300251,T113,Software,1003.23,Q1
300252,T105,Office,29857.25,Q1
300253,T112,Personnel,35543.84,Q1
300254,T107,Hardware,45157.42,Q2
300255,T105,Training,49834.88,Q4
300256,T101,Training,27166.49,Q2
300257,T117,Travel,42349.35,Q1
300258,T117,Consulting,842.06,Q4
300259,T111,Office,33601.62,Q3
300260,T114,Training,11732.4,Q4
300261,T119,Consulting,40386.06,Q4
300262,T118,Hardware,37335.27,Q2
300263,T118,Consulting,21230.25,Q1
300264,T112,Office,37317.77,Q4
300265,T112,Office,26677.18,Q2
300266,T119,Travel,36127.14,Q2
300267,T107,Hardware,35455.54,Q4
300268,T117,Travel,22714.82,Q1
300269,T115,Office,46059.95,Q1
300270,T111,Software,34504.39,Q1
300271,T105,Training,42831.13,Q3
300272,T115,Consulting,46882.13,Q1
300273,T101,Office,22715.8,Q1
300274,T107,Hardware,-2472.05,Q1
300275,T111,Software,2973.56,Q1
300276,T114,Travel,49046.97,Q4
300277,T111,Travel,9223.47,Q1
300278,T110,Personnel,6928.0,Q3
300279,T103,Software,-4780.4,Q2
300280,T108,Travel,28307.55,Q4
300281,T101,Hardware,28817.61,Q2
300282,T114,Personnel,33408.4,Q3
300283,T112,Training,25746.4,Q3
300284,T114,Training,11227.92,Q3
300285,T113,Office,43967.67,Q4
300286,T113,Hardware,6525.78,Q3
300287,T119,Hardware,-4493.18,Q1
300288,T105,Training,28912.68,Q4
300289,T111,Personnel,31439.13,Q4
300290,T109,Software,29595.16,Q3
300291,T119,Training,22681.32,Q1
300292,T117,Personnel,13293.02,Q2
300293,T108,Training,27780.58,Q1
300294,T107,Hardware,37851.61,Q4
300295,T116,Travel,26498.5,Q2
300296,T107,Hardware,16916.46,Q1
300297,T116,Consulting,23357.27,Q1
300298,T105,Training,7115.64,Q1
300299,T110,Hardware,30609.58,Q3
300300,T119,Travel,35770.89,Q1
300301,T112,Personnel,24251.45,Q3
300302,T107,Personnel,47799.45,Q2
300303,T109,Office,48654.86,Q1
300304,T115,Consulting,11978.47,Q2
300305,T111,Software,14676.26,Q1
300306,T106,Office,-4666.78,Q1
300307,T113,Training,13602.7,Q1
300308,T105,Training,41226.46,Q4
300309,T110,Software,30404.65,Q2
300310,T104,Travel,28505.3,Q2
300311,T115,Training,14298.29,Q4
300312,T111,Training,9379.27,Q4
300313,T104,Travel,45803.46,Q2
300314,T109,Software,16678.29,Q3
300315,T106,Consulting,30278.78,Q1
300316,T114,Personnel,46203.61,Q3
300317,T101,Personnel,36541.62,Q2
300318,T102,Travel,36218.79,Q3
300319,T115,Personnel,36378.96,Q3
300320,T116,Office,7807.87,Q2
300321,T113,Hardware,23086.65,Q3
300322,T113,Hardware,1083.62,Q1
300323,T118,Training,49058.35,Q2
300324,T110,Travel,42910.22,Q1
300325,T107,Consulting,48791.58,Q4
300326,T113,Office,46737.71,Q4
300327,T103,Travel,11990.47,Q2
300328,T112,Training,26509.81,Q3
300329,T109,Consulting,44241.27,Q2
300330,T106,Office,16031.28,Q2
300331,T110,Training,40199.71,Q4
300332,T110,Office,39325.69,Q1
300333,T119,Office,6980.91,Q3
300334,T109,Hardware,12882.69,Q1
300335,T101,Software,-662.64,Q4
300336,T104,Travel,2997.97,Q1
300337,T109,Office,23499.61,Q4
300338,T107,Consulting,7270.21,Q3
300339,T115,Travel,27484.91,Q3
300340,T117,Travel,30113.2,Q3
300341,T118,Software,46159.47,Q3
300342,T103,Hardware,6731.37,Q3
300343,T102,Office,30393.66,Q3
300344,T119,Software,11120.72,Q3
300345,T115,Office,10526.02,Q3
300346,T109,Personnel,-3255.8,Q1
300347,T115,Software,25816.76,Q3
300348,T106,Travel,37524.57,Q1
300349,T106,Office,9118.73,Q3
300350,T116,Training,36289.24,Q4
300351,T101,Office,14412.36,Q1
300352,T101,Hardware,11845.85,Q3
300353,T112,Travel,15030.29,Q3
300354,T106,Personnel,7305.04,Q3
300355,T104,Hardware,48268.11,Q1
300356,T101,Training,29171.16,Q4
300357,T114,Consulting,30886.78,Q4
300358,T101,Office,25563.82,Q2
300359,T114,Travel,20478.98,Q4
300360,T111,Personnel,39446.15,Q1
300361,T102,Software,37941.6,Q4
300362,T111,Hardware,31955.28,Q4
300363,T114,Travel,37971.09,Q1
300364,T106,Office,6099.62,Q1
300365,T102,Consulting,49028.25,Q4
300366,T108,Hardware,34258.92,Q1
300367,T117,Office,14480.97,Q3
300368,T117,Office,7462.79,Q4
300369,T106,Consulting,46660.76,Q2
300370,T103,Training,27270.79,Q4
300371,T118,Travel,23005.64,Q3
300372,T111,Travel,40659.51,Q3
300373,T114,Software,2571.89,Q1
300374,T104,Office,-644.88,Q2
300375,T101,Training,23063.41,Q3
300376,T118,Hardware,35382.88,Q1
300377,T113,Hardware,5381.09,Q2
300378,T105,Personnel,45578.95,Q3
300379,T118,Hardware,45059.34,Q2
300380,T112,Personnel,49798.8,Q2
300381,T113,Consulting,27138.91,Q2
300382,T119,Travel,49286.69,Q1
300383,T111,Office,42565.98,Q1
300384,T105,Hardware,3705.57,Q2
300385,T116,Personnel,-4457.97,Q2
300386,T109,Software,38503.06,Q2
300387,T101,Office,18383.32,Q3
300388,T107,Consulting,24653.92,Q2
300389,T110,Office,11195.26,Q3
300390,T110,Consulting,21226.22,Q3
300391,T104,Personnel,17001.21,Q1
300392,T119,Consulting,-979.03,Q1
300393,T101,Software,33663.77,Q1
300394,T115,Consulting,-297.85,Q3
300395,T101,Hardware,32869.35,Q2
300396,T108,Travel,19841.52,Q1
300397,T116,Hardware,26924.63,Q4
300398,T112,Travel,23272.35,Q2
300399,T110,Consulting,1924.91,Q2
300400,T107,Office,44038.32,Q3
300401,T103,Office,32272.01,Q1
300402,T104,Hardware,5939.49,Q4
300403,T104,Training,27813.69,Q1
300404,T117,Travel,18838.24,Q4
300405,T102,Personnel,32301.59,Q1
300406,T101,Personnel,24752.18,Q1
300407,T106,Consulting,31039.37,Q1
300408,T111,Office,31822.06,Q1
300409,T103,Personnel,31497.28,Q4
300410,T117,Consulting,25487.3,Q1
300411,T103,Personnel,46753.36,Q4
300412,T102,Office,45321.19,Q3
300413,T108,Personnel,29460.6,Q4
300414,T108,Hardware,43801.48,Q1
300415,T114,Travel,34400.64,Q4
300416,T109,Hardware,33099.13,Q3
300417,T114,Personnel,15414.45,Q1
300418,T111,Personnel,42740.91,Q1
300419,T110,Consulting,37278.89,Q1
300420,T106,Office,47973.11,Q1
300421,T106,Consulting,33094.89,Q3
300422,T103,Personnel,6402.27,Q2
300423,T102,Personnel,15244.63,Q1
300424,T118,Software,49534.65,Q1
300425,T118,Travel,1345.66,Q3
300426,T104,Hardware,12314.23,Q1
300427,T104,Travel,41570.11,Q1
300428,T102,Personnel,8195.68,Q3
300429,T115,Consulting,9463.53,Q4
300430,T112,Training,13899.53,Q1
300431,T112,Consulting,46802.4,Q2
300432,T116,Consulting,10488.67,Q2
300433,T104,Software,29873.72,Q2
300434,T112,Hardware,23757.12,Q4
300435,T112,Consulting,25749.27,Q4
300436,T112,Office,6653.27,Q1
300437,T107,Consulting,5139.65,Q3
300438,T112,Personnel,15943.2,Q1
300439,T109,Hardware,28835.76,Q3
300440,T112,Office,31856.76,Q3
300441,T119,Hardware,49754.77,Q4
300442,T116,Software,41380.01,Q3
300443,T102,Travel,35665.2,Q4
300444,T102,Office,25214.59,Q3
300445,T109,Software,16833.03,Q1
300446,T113,Personnel,10473.86,Q3
300447,T114,Hardware,38744.32,Q2
300448,T108,Personnel,38585.43,Q1
300449,T118,Hardware,16662.5,Q3
300450,T119,Training,43866.12,Q1
300451,T109,Consulting,46581.15,Q3
300452,T102,Hardware,-550.29,Q1
300453,T102,Personnel,28159.31,Q4
300454,T105,Consulting,21074.49,Q1
300455,T105,Software,41647.26,Q3
300456,T118,Consulting,32448.24,Q2
300457,T101,Software,10212.22,Q1
300458,T106,Travel,6637.46,Q1
300459,T113,Travel,11113.91,Q1
300460,T114,Travel,33015.66,Q1
300461,T102,Personnel,38713.66,Q1
300462,T108,Software,16227.22,Q2
300463,T110,Training,27422.93,Q1
300464,T104,Travel,48152.79,Q3
300465,T117,Consulting,23552.4,Q1
300466,T119,Travel,1357.35,Q2
300467,T112,Office,48735.24,Q2
300468,T108,Software,550.62,Q1
300469,T111,Hardware,4967.74,Q1
300470,T105,Office,49040.33,Q1
300471,T119,Software,45968.05,Q3
300472,T103,Travel,4494.35,Q1
300473,T107,Personnel,7009.75,Q4
300474,T113,Office,42387.42,Q4
300475,T105,Office,49072.98,Q3
300476,T108,Hardware,30286.15,Q2
300477,T119,Hardware,46605.97,Q2
300478,T106,Personnel,41141.56,Q1
300479,T116,Personnel,3407.18,Q4
300480,T109,Travel,-3079.08,Q4
300481,T111,Software,19563.97,Q4
300482,T116,Training,25659.22,Q4
300483,T105,Training,22719.61,Q3
300484,T104,Hardware,42070.5,Q2
300485,T103,Software,49512.46,Q3
300486,T104,Office,23120.8,Q3
300487,T114,Travel,-444.7,Q3
300488,T117,Office,34971.64,Q4
300489,T106,Office,4973.61,Q4
300490,T108,Training,15887.2,Q1
300491,T112,Hardware,42805.73,Q3
300492,T115,Office,15114.37,Q4
300493,T109,Personnel,-1837.86,Q3
300494,T106,Hardware,40411.84,Q2
300495,T112,Hardware,4036.31,Q3
300496,T119,Office,39990.46,Q1
300497,T112,Hardware,12505.03,Q3
300498,T102,Hardware,36792.06,Q4
300499,T118,Training,12116.59,Q4
300500,T111,Training,16728.25,Q1
300501,T107,Office,20559.85,Q3
300502,T112,Office,38001.43,Q4
300503,T118,Personnel,39813.89,Q4
300504,T112,Consulting,20548.08,Q4
300505,T113,Office,-3368.38,Q1
300506,T106,Consulting,24547.8,Q2
300507,T119,Personnel,17404.93,Q1
300508,T118,Training,6772.65,Q2
300509,T115,Travel,38445.4,Q3
300510,T119,Travel,36987.8,Q1
300511,T117,Consulting,-2108.92,Q4
300512,T117,Travel,25396.39,Q1
300513,T106,Office,40290.5,Q2
300514,T105,Office,44697.22,Q3
300515,T106,Training,2797.08,Q3
300516,T105,Consulting,25863.75,Q2
300517,T116,Office,733.42,Q1
300518,T118,Training,12678.12,Q1
300519,T116,Hardware,25726.16,Q3
300520,T118,Consulting,808.22,Q3
300521,T118,Software,21904.59,Q4
300522,T101,Training,8586.79,Q4
300523,T105,Software,4548.11,Q2
300524,T114,Software,6213.58,Q1
300525,T105,Consulting,24943.28,Q2
300526,T106,Software,15389.49,Q4
300527,T119,Office,36728.94,Q1
300528,T117,Consulting,15297.43,Q2
300529,T119,Personnel,3739.74,Q3
300530,T114,Hardware,44183.85,Q2
300531,T119,Personnel,4078.9,Q1
300532,T106,Hardware,49453.61,Q4
300533,T108,Travel,36836.91,Q4
300534,T114,Hardware,46205.85,Q1
300535,T113,Office,21514.68,Q4
300536,T115,Software,23983.75,Q2
300537,T118,Office,11498.8,Q1
300538,T115,Software,641.61,Q2
300539,T110,Software,12292.58,Q1
300540,T105,Consulting,24215.43,Q3
300541,T103,Personnel,38283.49,Q3
300542,T104,Software,5095.83,Q3
300543,T113,Office,40322.04,Q4
300544,T119,Hardware,49334.27,Q1
300545,T118,Hardware,11746.38,Q2
300546,T107,Software,48217.81,Q1
300547,T101,Office,34987.11,Q4
300548,T116,Hardware,42572.88,Q2
300549,T112,Office,15369.07,Q1
300550,T106,Personnel,6110.94,Q4
300551,T118,Software,-3700.01,Q3
300552,T119,Consulting,33061.31,Q2
300553,T105,Training,26499.65,Q3
300554,T116,Training,4605.84,Q2
300555,T102,Training,40029.5,Q3
300556,T110,Software,5954.5,Q3
300557,T114,Software,14094.18,Q4
300558,T115,Hardware,28802.65,Q2
300559,T102,Travel,15783.88,Q4
300560,T116,Travel,16308.96,Q2
300561,T119,Personnel,21231.35,Q3
300562,T116,Personnel,8325.24,Q2
300563,T111,Hardware,48085.22,Q4
300564,T119,Travel,21214.61,Q1
300565,T103,Consulting,31415.02,Q4
300566,T118,Hardware,18309.22,Q4
300567,T111,Training,45413.52,Q1
300568,T101,Software,37058.38,Q4
300569,T110,Software,-3049.06,Q1
300570,T119,Software,19848.92,Q1
300571,T115,Software,45366.44,Q1
300572,T116,Travel,47315.62,Q2
300573,T110,Consulting,42942.06,Q1
300574,T109,Consulting,48490.48,Q3
300575,T117,Travel,2161.16,Q1
300576,T103,Software,41743.92,Q1
300577,T113,Office,38941.47,Q2
300578,T101,Office,39479.3,Q1
300579,T105,Software,29597.42,Q2
300580,T111,Travel,37425.8,Q1
300581,T105,Software,24684.8,Q3
300582,T117,Training,933.84,Q4
300583,T108,Office,46943.87,Q2
300584,T102,Training,44014.2,Q4
300585,T110,Personnel,6669.95,Q1
300586,T117,Travel,-1330.76,Q4
300587,T117,Consulting,40054.35,Q3
300588,T101,Hardware,6428.63,Q4
300589,T109,Consulting,17792.38,Q4
300590,T101,Training,3787.56,Q2
300591,T106,Software,28715.25,Q2
300592,T102,Consulting,25694.27,Q4
300593,T101,Software,39024.7,Q3
300594,T117,Training,-3098.04,Q3
300595,T112,Software,36635.92,Q3
300596,T109,Consulting,42690.31,Q4
300597,T105,Personnel,34421.61,Q2
300598,T112,Software,33907.73,Q1
300599,T110,Personnel,31707.97,Q1
300600,T119,Personnel,48644.95,Q4
300601,T110,Hardware,32372.92,Q3
300602,T103,Software,2398.69,Q4
300603,T114,Travel,4777.14,Q3
300604,T110,Consulting,19266.5,Q4
300605,T110,Travel,41904.74,Q2
300606,T103,Training,9743.64,Q4
300607,T109,Travel,36919.37,Q2
300608,T104,Consulting,29606.67,Q4
300609,T107,Consulting,3007.63,Q1
300610,T109,Consulting,19880.82,Q4
300611,T119,Hardware,47647.13,Q4
300612,T113,Consulting,43912.78,Q2
300613,T112,Consulting,44445.21,Q1
300614,T111,Hardware,7050.15,Q4
300615,T106,Office,39542.41,Q4
300616,T107,Consulting,12514.43,Q2
300617,T102,Hardware,38499.6,Q4
300618,T101,Office,49499.78,Q1
300619,T112,Training,33071.71,Q1
300620,T102,Software,1362.21,Q3
300621,T106,Software,36436.12,Q2
300622,T103,Hardware,-1100.2,Q3
300623,T105,Software,31718.0,Q3
300624,T110,Consulting,34123.34,Q1
300625,T115,Personnel,41464.74,Q1
300626,T115,Software,7339.66,Q1
300627,T104,Consulting,30043.53,Q2
300628,T101,Personnel,49794.77,Q3
300629,T115,Software,36479.18,Q3
300630,T119,Office,25507.91,Q3
300631,T103,Training,-485.74,Q2
300632,T104,Software,49137.64,Q4
300633,T116,Travel,39642.25,Q3
300634,T118,Training,23509.39,Q2
300635,T101,Consulting,41737.98,Q3
300636,T117,Training,7628.2,Q1
300637,T104,Consulting,12438.92,Q4
300638,T107,Training,42678.36,Q4
300639,T119,Travel,15175.77,Q1
300640,T117,Office,27328.56,Q3
300641,T106,Personnel,4832.08,Q4
300642,T118,Travel,42590.5,Q4
300643,T112,Software,16392.93,Q3
300644,T112,Personnel,35497.41,Q4
300645,T104,Hardware,14804.1,Q4
300646,T108,Consulting,4406.85,Q2
300647,T109,Office,15050.82,Q2
300648,T108,Consulting,18123.27,Q3
300649,T112,Personnel,12055.72,Q4
300650,T114,Personnel,41365.6,Q2
300651,T107,Office,16208.6,Q1
300652,T115,Consulting,-1195.55,Q1
300653,T115,Consulting,38858.55,Q2
300654,T103,Office,20289.38,Q3
300655,T103,Training,10148.57,Q3
300656,T118,Software,17993.28,Q3
300657,T105,Office,19105.74,Q4
300658,T104,Consulting,17002.96,Q2
300659,T104,Training,2559.08,Q3
300660,T110,Personnel,13739.86,Q3
300661,T116,Office,11397.87,Q2
300662,T104,Travel,12263.79,Q1
300663,T118,Training,41192.0,Q2
300664,T101,Personnel,7201.88,Q1
300665,T114,Consulting,35113.75,Q1
300666,T118,Training,18233.76,Q3
300667,T110,Hardware,13247.78,Q2
300668,T115,Travel,42313.51,Q2
300669,T105,Training,44770.57,Q1
300670,T110,Office,13943.01,Q1
300671,T110,Training,31311.88,Q2
300672,T105,Training,42341.16,Q3
300673,T102,Consulting,27173.79,Q3
300674,T117,Office,47450.76,Q4
300675,T108,Office,9113.27,Q2
300676,T107,Consulting,46784.71,Q3
300677,T113,Software,47432.14,Q2
300678,T118,Consulting,1140.33,Q4
300679,T106,Travel,37578.53,Q3
300680,T106,Hardware,38038.61,Q1
300681,T112,Hardware,26461.49,Q4
300682,T106,Office,2012.17,Q2
300683,T115,Consulting,32995.83,Q4
300684,T103,Software,20203.06,Q4
300685,T106,Training,31927.75,Q1
300686,T103,Personnel,30805.74,Q1
300687,T109,Office,2295.25,Q1
300688,T111,Training,3310.79,Q2
300689,T111,Travel,46186.79,Q4
300690,T115,Office,2314.63,Q2
300691,T105,Hardware,-4308.33,Q4
300692,T105,Personnel,43066.91,Q2
300693,T119,Consulting,21187.56,Q4
300694,T119,Hardware,25355.11,Q2
300695,T116,Consulting,17757.91,Q1
300696,T102,Consulting,22379.21,Q3
300697,T112,Travel,11047.88,Q1
300698,T113,Travel,8607.83,Q1
300699,T111,Personnel,11322.22,Q1
300700,T105,Personnel,27124.86,Q2
300701,T107,Hardware,14899.42,Q4
300702,T115,Consulting,21308.4,Q3
300703,T117,Hardware,34192.37,Q1
300704,T107,Office,20257.72,Q2
300705,T113,Software,-1103.85,Q1
300706,T102,Hardware,19870.89,Q4
300707,T111,Office,48620.33,Q3
300708,T110,Software,32989.57,Q1
300709,T108,Software,31084.6,Q1
300710,T114,Training,3739.3,Q3
300711,T116,Consulting,6574.55,Q1
300712,T116,Training,-2488.38,Q4
300713,T116,Hardware,7809.55,Q3
300714,T111,Software,1645.63,Q2
300715,T111,Travel,32728.21,Q4
300716,T111,Software,9068.53,Q1
300717,T119,Personnel,6274.68,Q1
300718,T112,Personnel,41205.35,Q4
300719,T105,Office,20903.45,Q4
300720,T103,Hardware,12240.89,Q4
300721,T105,Office,4395.48,Q2
300722,T107,Travel,31740.61,Q2
300723,T114,Hardware,34610.02,Q1
300724,T107,Hardware,34215.08,Q1
300725,T107,Software,12435.91,Q3
300726,T112,Travel,10100.31,Q3
300727,T101,Software,36978.02,Q4
300728,T102,Training,48856.1,Q3
300729,T101,Travel,22833.6,Q2
300730,T118,Software,19661.62,Q3
300731,T106,Travel,48557.4,Q4
300732,T116,Training,4463.89,Q3
