ACCESSION_NUMBER	REPORTCALENDARORQUARTER	ISAMENDMENT	AMENDMENTNO	AMENDMENTTYPE	CONFDENIEDEXPIRED	DATEDENIEDEXPIRED	DATEREPORTED	REASONFORNONCONFIDENTIALITY	FILINGMANAGER_NAME	FILINGMANAGER_STREET1	FILINGMANAGER_STREET2	FILINGMANAGER_CITY	FILINGMANAGER_STATEORCOUNTRY	FILINGMANAGER_ZIPCODE	REPORTTYPE	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	PROVIDEINFOFORINSTRUCTION5	ADDITIONALINFORMATION
0001012622-25-000003	30-SEP-2025	N							ORACLE INVESTMENT MANAGEMENT INC	500 WEST PUTNAM AVENUE		GREENWICH	CT	06830	13F HOLDINGS REPORT	028-05592	000138127	801-73596	N	
0001992879-25-000005	30-SEP-2025								Second Line Capital, LLC	2800 VETERANS MEMORIAL BLVD.	SUITE 220	METAIRIE	LA	70002	13F HOLDINGS REPORT	028-23666	000324386		N	
0001628280-25-052950	30-SEP-2025	Y	1	NEW HOLDINGS	N				Silvant Capital Management LLC	3333 PIEDMONT ROAD, NE	SUITE 1500	ATLANTA	GA	30305	13F HOLDINGS REPORT	028-18744	000146025	801-68741	N	
0001573876-25-000020	30-SEP-2025	N							Advisory Services Network, LLC	6600 Peachtree Dunwoody Rd.	Embassy Row 600, Suite 575	Atlanta	GA	30328	13F HOLDINGS REPORT	028-15454			N	
0001764970-25-000008	30-SEP-2025								Kozak & Associates, Inc.	1745 SHEA CENTER DRIVE, SUITE 345		HIGHLANDS RANCH	CO	80129	13F HOLDINGS REPORT	028-21058			N	
0001844709-25-000009	30-SEP-2025	Y	1	RESTATEMENT					San Luis Wealth Advisors LLC	735 TANK FARM ROAD	SUITE 264	SAN LUIS OBISPO	CA	93401	13F HOLDINGS REPORT	028-20584			N	
0001172661-25-005201	30-SEP-2025	N							Raab & Moskowitz Asset Management LLC	10 Townsquare, Suite 100		Chatham	NJ	07928	13F HOLDINGS REPORT	028-16254	000111987	801-58135	N	
0001665337-25-000008	30-SEP-2025								Integrated Investment Consultants, LLC	40950 WOODWARD AVE	SUITE 350	BLOOMFIELD HILLS	MI	48304	13F HOLDINGS REPORT	028-17289	000175299		N	
0001376772-25-000007	30-SEP-2025								Dorsey Wright & Associates	790 EAST COLORADO BLVD., STE. 550		PASADENA	CA	91101	13F HOLDINGS REPORT	028-12076			N	
0001754960-25-000799	30-SEP-2025								TCFG WEALTH MANAGEMENT, LLC	28202 CABOT ROAD, SUITE 300		LAGUNA NIGUEL	CA	92677	13F HOLDINGS REPORT	028-24390			N	
0001993888-25-000019	30-SEP-2025								Pictet Asset Management Holding SA	ROUTE DES ACACIAS 60		CAROUGE	V8	1227	13F HOLDINGS REPORT	028-23450			N	
0002085853-25-000286	30-SEP-2025	N							Vertex Planning Partners, LLC	3000 Woodcreek Drive	Suite 100	Downers Grove	IL	60515	13F COMBINATION REPORT	028-22820	000316839	801-122980	N	
0001882673-25-000008	30-SEP-2025								US Asset Management LLC	211 N. WHITFIELD STREET	SUITE 201	PITTSBURGH	PA	15206	13F HOLDINGS REPORT	028-21392			N	
0001193125-25-285274	30-SEP-2025	N							Livforsakringsbolaget Skandia, Omsesidigt	Lindhagensgatan 86		Stockholm	V7	SE-106 55	13F HOLDINGS REPORT	028-14938			N	
0001214659-25-016845	30-SEP-2025	N							Apexium Financial, LP	1920 Mckinney Avenue	Suite 700	Dallas	TX	75201	13F HOLDINGS REPORT	028-19109			N	
0001729443-25-000002	30-SEP-2025	N							Garrett Wealth Advisory Group, LLC	201 FORT WORTH HWY.		WEATHERFORD	TX	76086	13F HOLDINGS REPORT	028-19448			N	
0001853322-25-000011	30-SEP-2025	Y	1	RESTATEMENT					DARK FOREST CAPITAL MANAGEMENT LP	60 CHARLTON STREET	5TH FLOOR	NEW YORK	NY	10014	13F HOLDINGS REPORT	028-21354	000031251	801-120433	N	
0001905128-25-000010	30-SEP-2025								American Trust	2525 HARRODSBURG RD	SUITE 300	LEXINGTON	KY	40504	13F COMBINATION REPORT	028-22385			N	
0002097037-25-000003	30-SEP-2025	N							Equity Wealth Partners, LLC	4700 S Cedar Crest Ct		Independence	MO	64055	13F HOLDINGS REPORT	028-25881	000317224	801-122943	N	
0001104659-25-113165	30-SEP-2025	N							Hilltop Partners LLC	527 PARK PLACE	SUITE 100	MISHAWAKA	IN	46545	13F HOLDINGS REPORT	028-23043	000290981	801-115255	N	
0001999371-25-018008	30-SEP-2025	N							FWL INVESTMENT MANAGEMENT, LLC	3102 Oak Lawn Avenue	Suite 750	Dallas	TX	75219	13F HOLDINGS REPORT	028-20432	000174119	801-110851	N	
0001094584-25-000005	30-SEP-2025								PIN OAK INVESTMENT ADVISORS INC	510 BERING	SUITE 100	HOUSTON	TX	77057	13F HOLDINGS REPORT	028-05631			N	
0002011850-25-000007	30-SEP-2025								Optimist Retirement Group LLC	11400 SE 8TH ST. #465		BELLEVUE	WA	98004	13F HOLDINGS REPORT	028-23965	000119086	801-114109	N	
0001214659-25-016789	30-SEP-2025	N							Avondale Wealth Management	4407 BEE CAVE ROAD, SUITE 421		WEST LAKE HILLS	TX	78746	13F HOLDINGS REPORT	028-18730			N	
0001104659-25-113133	30-SEP-2025	N							Camelot Portfolios, LLC	1700 Woodlands Drive	Suite 100	Maumee	OH	43537	13F COMBINATION REPORT	028-15429			N	
0002085853-25-000285	30-SEP-2025	N							Eaton Financial Holdings Company, LLC	11555 Heron Bay Boulevard	Suite 200	Coral Springs	FL	33076	13F HOLDINGS REPORT	028-23172	000316323	801-122301	N	
0001193125-25-284421	30-SEP-2025	N							HANCOCK WHITNEY CORP	ONE HANCOCK WHITNEY PLAZA	P O BOX 4019	GULFPORT	MS	39501	13F COMBINATION REPORT	028-05671			N	
0001172661-25-005199	30-SEP-2025	Y	1	NEW HOLDINGS	N				KDT Advisors, LLC	103 CARNEGIE CENTER	SUITE 300	PRINCETON	NJ	08540	13F HOLDINGS REPORT	028-25238	000289816	801-111805	N	
0002013339-25-000006	30-SEP-2025								Abel Hall, LLC	9270 SIEGEN LANE STE 202		BATON ROUGE	LA	70810	13F HOLDINGS REPORT	028-23994			N	
0001214659-25-016774	30-SEP-2025	N							Financial Engines Advisors L.L.C.	3945 FREEDOM CIRCLE	SUITE 450	SANTA CLARA	CA	95054	13F HOLDINGS REPORT	028-12703			N	
0001172661-25-005197	30-SEP-2025	N							Harvest Investment Services, LLC	1 Transam Plaza Drive	Suite 230	Oakbrook Terrace	IL	60181	13F HOLDINGS REPORT	028-19357	000159390	801-79232	N	
0001765380-25-000503	30-SEP-2025	Y	1	RESTATEMENT					Keystone Financial Group	527 WELLINGTON WAY, STE 225		LEXINGTON	KY	40503	13F HOLDINGS REPORT	028-18307			N	
0001434323-25-000005	30-SEP-2025								Palisade Asset Management, LLC	100 SOUTH FIFTH STREET, SUITE 420		MINNEAPOLIS	MN	55402	13F HOLDINGS REPORT	028-13058			N	
0001999371-25-017982	30-SEP-2025	N							FSA Wealth Management LLC	144 Gould Street	Suite 120	Needham	MA	02494	13F HOLDINGS REPORT	028-20176	000288525	801-110991	N	
0000884414-25-000005	30-SEP-2025	N							JACOBS LEVY EQUITY MANAGEMENT, INC	100 CAMPUS DRIVE	P.O. BOX 650	FLORHAM PARK	NJ	07932	13F COMBINATION REPORT	028-03059			N	
0001962449-25-000007	30-SEP-2025								Kestra Investment Management, LLC	5707 SOUTHWEST PARKWAY	BUILDING 2, SUITE 400	AUSTIN	TX	78735	13F HOLDINGS REPORT	028-24349			N	
0001682021-25-000013	30-SEP-2025	N							Vivaldi Capital Management LP	225 W. WACKER DRIVE - SUITE 2100		CHICAGO	IL	60606	13F HOLDINGS REPORT	028-18047			N	
0001046192-25-000019	30-SEP-2025								CANADA LIFE ASSURANCE Co	100 OSBORNE STREET NORTH		WINNIPEG	A2	R3C 1V3	13F COMBINATION REPORT	028-10601			N	
0002051323-25-000025	30-SEP-2025								CAXTON ASSOCIATES LLP	20 CARLTON HOUSE TERRACE	2ND FLOOR	LONDON	X0	SW1Y 5AN	13F HOLDINGS REPORT	028-25611	000132823	801-63731	N	
0001905669-25-000005	30-SEP-2025								Synergy Financial Group, LTD	2710 CROW CANYON RD	#1065	SAN RAMON	CA	94583	13F HOLDINGS REPORT	028-21808	000309961		N	
0000897069-25-001709	30-SEP-2025	N							Perritt Capital Management Inc	300 South Wacker Drive		Chicago	IL	60606	13F HOLDINGS REPORT	028-10646			N	
0001172661-25-005150	30-SEP-2025	N							Alyeska Investment Group, L.P.	77 WEST WACKER DRIVE	7TH FLOOR	CHICAGO	IL	60601	13F HOLDINGS REPORT	028-13284	000155058	801-71962	N	
0001213900-25-111189	30-SEP-2025	N							NewEdge Advisors, LLC	858 CAMP STREET		NEW ORLEANS	LA	70130	13F HOLDINGS REPORT	028-16626			N	
0001086763-25-000016	30-SEP-2025	N							FIRST FOUNDATION ADVISORS	18101 Von Karman Avenue	Ste 700	Irvine	CA	92612	13F HOLDINGS REPORT	028-05785			N	
0001849529-25-000004	30-SEP-2025								Revere Asset Management, Inc	17103 PRESTON ROAD #225N		DALLAS	TX	75249	13F HOLDINGS REPORT	028-25880			N	
0001649451-25-000009	30-SEP-2025								KESTRA PRIVATE WEALTH SERVICES, LLC	5707 SOUTHWEST PARKWAY	BLDG 2 STE 400	AUSTIN	TX	78735	13F HOLDINGS REPORT	028-20365			N	
0002013390-25-000004	30-SEP-2025								CacheTech Inc.	701 S MAIN	STE 400	LOGAN	UT	84321	13F COMBINATION REPORT	028-24255			N	
0001730765-25-000008	30-SEP-2025								Triumph Capital Management	1610 WYNKOOP STREET	SUITE 550	DENVER	CO	80202	13F HOLDINGS REPORT	028-21297	000282814	801-107312	N	
0002008513-25-000004	30-SEP-2025								Turning Point Benefit Group, Inc.	7210 CORPORATE COURT, SUITE A		FREDERICK	MD	21703	13F HOLDINGS REPORT	028-24722	000301282	801-116895	N	
0002096913-25-000001	30-SEP-2025								SHUTTLEWORTH & Co	3807 ATTUCKS DRIVE		POWELL	OH	43065	13F HOLDINGS REPORT	028-25879	000121382		N	
0001698926-25-000007	30-SEP-2025								Adalta Capital Management LLC	445 PARK AVENUE	SUITE 16D	NEW YORK	NY	10022	13F HOLDINGS REPORT	028-18082	000283771	801-107823	N	
0001729254-25-000006	30-SEP-2025								Front Row Advisors LLC	1100 MAR WEST ST.	SUITE C	TIBURON	CA	94920	13F HOLDINGS REPORT	028-18239			N	
0001398344-25-021002	30-SEP-2025	N							Silicon Valley Capital Partners	1731 TECHNOLOGY DRIVE, SUITE 810		SAN JOSE	CA	95110	13F HOLDINGS REPORT	028-17464	000125114	801-62004	N	
0001390202-25-000003	30-SEP-2025	N							Laurion Capital Management LP	360 MADISON AVENUE	SUITE 2000	NEW YORK	NY	10017	13F HOLDINGS REPORT	028-12437	000161278	801-73253	N	
0001564702-25-000027	30-SEP-2025								PDT Partners, LLC	60 Columbus Circle	18th Floor	New York	NY	10023	13F HOLDINGS REPORT	028-15351	000163776	028-15351	N	
0001213900-25-111112	30-SEP-2025	N							CYBER HORNET ETFs LLC	200 2ND AVE. SOUTH #737		Saint Petersburg	FL	33701	13F HOLDINGS REPORT	028-24458			N	
0001801674-25-000002	30-SEP-2025	N							WJ Wealth Management, LLC	18275 NORTH 59TH AVENUE B-112		GLENDALE	AZ	85308	13F HOLDINGS REPORT	028-19724			N	
0001172661-25-005127	30-SEP-2025	N							ZACKS INVESTMENT MANAGEMENT	10 S. Riverside Plaza	Suite 1600	Chicago	IL	60606	13F HOLDINGS REPORT	028-04587	000110897	801-40592	N	
0001214659-25-016744	30-SEP-2025	N							Prairie Wealth Advisors, Inc.	10250 REGENCY CIR STE 115		OMAHA	NE	68114	13F HOLDINGS REPORT	028-24167			N	
0001172661-25-005126	30-SEP-2025	N							CREDIT AGRICOLE S A	12 Place des Etats-Unis		Montrouge Cedex	I0	92127	13F HOLDINGS REPORT	028-11373			Y	Due to fund restructuring, name changes will be submitted for Degroof Petercam Asset Services S.A. and CA Indosuez Wealth (Europe).  After approval of the changes, an amendment will be submitted for the Q3 2025 13F filing.
0001999371-25-017942	30-SEP-2025	N							Redwood Park Advisors LLC	3 TWIN DOLPHIN DRIVE	Suite 210	Redwood City	CA	94065	13F HOLDINGS REPORT	028-25037			N	
0001754960-25-000798	30-SEP-2025								Avior Wealth Management, LLC	14301 FIRST NATIONAL BANK PARKWAY	#110	OMAHA	NE	68154	13F HOLDINGS REPORT	028-15984			N	
0001765380-25-000502	30-SEP-2025								Keystone Financial Group	527 WELLINGTON WAY, STE 225		LEXINGTON	KY	40503	13F HOLDINGS REPORT	028-18307	000170201	801-79274	N	
0001172661-25-005124	30-SEP-2025	N							Ellevest, Inc.	228 Park Ave S.	Pmb 94934	New York	NY	10003-1502	13F HOLDINGS REPORT	028-18979	000175476	801-106683	N	
0001586767-25-000010	30-SEP-2025								Arax Advisory Partners	730 17TH STREET, SUITE 107		DENVER	CO	80202	13F HOLDINGS REPORT	028-17856			N	
0001536444-25-000008	30-SEP-2025								Camarda Financial Advisors, LLC	4371 US HIGHWAY 17	SUITE 201	FLEMING ISLAND	FL	32003	13F HOLDINGS REPORT	028-15155	000113784	801-61028	N	
0001333986-25-000070	30-SEP-2025								Equitable Holdings, Inc.	1345 AVENUE OF THE AMERICAS		NEW YORK	NY	10105	13F HOLDINGS REPORT	028-19172			Y	All media outlets, please contact Erik Bass (212-314-2476) with any questions.
0001952722-25-000002	30-SEP-2025								SWAN Capital LLC	107 W GREGORY ST		PENSACOLA	FL	32502	13F HOLDINGS REPORT	028-23261	000305793	801-127762	N	
0001172661-25-005120	30-SEP-2025	N							Freestone Grove Partners LP	One Market Plaza, Steuart Tower	9th Floor	San Francisco	CA	94105	13F HOLDINGS REPORT	028-25337	000328089	801-129178	N	
0001999371-25-017935	30-SEP-2025	N							KELLEHER FINANCIAL ADVISORS	100 Wall Street	Suite 804	NEW YORK	NY	10005	13F HOLDINGS REPORT	028-14077			N	
0002085853-25-000283	30-SEP-2025	N							Capstone Wealth Management Group LLC	404 Sw Columbia St	Ste 230	Bend	OR	97702	13F HOLDINGS REPORT	028-25525			N	
0001606507-25-000008	30-SEP-2025								Arlington Capital Management, Inc.	21 S EVERGREEN AVE	100	ARLINGTON HEIGHTS	IL	60005	13F HOLDINGS REPORT	028-16665			N	
0001172661-25-005117	30-SEP-2025	N							TRUE Private Wealth Advisors	388 State St Suite 1000		Salem	OR	97301	13F HOLDINGS REPORT	028-17403	000164947	801-76997	N	
0001172661-25-005113	30-SEP-2025	N							Amundi	91-93 Boulevard Pasteur		Paris	I0	75015	13F HOLDINGS REPORT	028-11416			N	
0001398344-25-020999	30-SEP-2025	N							CARDIFF PARK ADVISORS, LLC	338 VIA VERA CRUZ SUITE 240		SAN MARCOS	CA	92078	13F HOLDINGS REPORT	028-22213	000126752	801-66660	N	
0001658652-25-000004	30-SEP-2025	N							Terra Nova Asset Management LLC	777 THIRD AVENUE		NEW YORK	NY	10017	13F HOLDINGS REPORT	028-17051	000111676	801-55603	N	
0001358828-25-000005	30-SEP-2025	N							Financial Sense Advisors, Inc.	10920 VIA FRONTERA	SUITE 500	SAN DIEGO	CA	92127	13F HOLDINGS REPORT	028-11894			N	
0001665241-25-000003	30-SEP-2025	N							Schonfeld Strategic Advisors LLC	590 MADISON AVENUE	23RD FLOOR	NEW YORK	NY	10022	13F HOLDINGS REPORT	028-17469	000281984	801-106963	N	
0001911348-25-000008	30-SEP-2025								JOSH ARNOLD INVESTMENT CONSULTANT, LLC	6800 FRANCE AVENUE SOUTH, #325		EDINA	MN	55435	13F HOLDINGS REPORT	028-22238	000163088	801-120651	N	
0001167557-25-000065	30-SEP-2025	N							AQR CAPITAL MANAGEMENT LLC	ONE GREENWICH PLAZA	SUITE 130	Greenwich	CT	06830	13F COMBINATION REPORT	028-10120	000111883	801-55543	N	
0001446114-25-000048	30-SEP-2025	N							Ancora Advisors LLC	6060 Parkland Boulevard, Suite 200		Cleveland	OH	44124	13F HOLDINGS REPORT	028-13214			N	
0000720005-25-000087	30-SEP-2025								RAYMOND JAMES FINANCIAL INC	880 CARILLON PKWY		ST. PETERSBURG	FL	33716	13F HOLDINGS REPORT	028-24793			Y	Starting with the quarter ending (December 31,2024), the Reporting Person is filing form 13F-HR to report the positions in Section 13(f) Securities over which its subsidiaries exercise investment discretion, and the subsidiaries that exercise investment discretion over $100 million in Section 13(f) Securities will file Form 13F-NT and identify the Reporting Person as the Other Manager filed Form 13F-HR to report the positions in Section 13(f) Securities over which such subsidiary directly or indirectly exercised investment discretion, and certain other subsidiaries filed Form 13F-NT.
0001540235-25-000008	30-SEP-2025								Creative Planning	5454 W.110TH STREET		OVERLAND PARK	KS	66211	13F HOLDINGS REPORT	028-14616	000105348	801-18564	N	
0001207017-25-000074	30-SEP-2025								LAZARD ASSET MANAGEMENT LLC	30 ROCKEFELLER PLZ	56TH FL.	NEW YORK	NY	10112	13F COMBINATION REPORT	028-10469			N	
0001062993-25-016846	30-SEP-2025	N							Concorde Asset Management, LLC	3909 RESEARCH PARK DRIVE, SUITE 200		ANN ARBOR	MI	48108	13F HOLDINGS REPORT	028-16513	000140367	801-74519	N	
0000913760-25-000188	30-SEP-2025	N							StoneX Group Inc.	230 PARK AVE	10TH FLOOR	NEW YORK	NY	10169	13F HOLDINGS REPORT	028-17573			N	
0001765380-25-000501	30-SEP-2025								RPS ADVISORY SOLUTIONS LLC	3432 STONY SPRING CIRCLE		LOUISVILLE	KY	40220	13F HOLDINGS REPORT	028-24234	000311575	801-119926	N	
0001757617-25-000003	30-SEP-2025								Full Sail Capital, LLC	124 N.W. 10TH ST		OKLAHOMA CITY	OK	73103	13F HOLDINGS REPORT	028-19336	000291368	801-112427	N	
0001104659-25-112613	30-SEP-2025	N							Hilltop Holdings Inc.	6565 HILLCREST AVE.		DALLAS	TX	75205	13F HOLDINGS REPORT	028-15359			N	
