ACCESSION_NUMBER	REPORTCALENDARORQUARTER	ISAMENDMENT	AMENDMENTNO	AMENDMENTTYPE	CONFDENIEDEXPIRED	DATEDENIEDEXPIRED	DATEREPORTED	REASONFORNONCONFIDENTIALITY	FILINGMANAGER_NAME	FILINGMANAGER_STREET1	FILINGMANAGER_STREET2	FILINGMANAGER_CITY	FILINGMANAGER_STATEORCOUNTRY	FILINGMANAGER_ZIPCODE	REPORTTYPE	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	PROVIDEINFOFORINSTRUCTION5	ADDITIONALINFORMATION
0001667731-25-001207	30-JUN-2025	N							BLVD Private Wealth, LLC	10515 Meeting Street	Suite 101	Prospect	KY	40059	13F HOLDINGS REPORT	028-25760			N	
0001104659-25-082246	30-JUN-2025	N							Hilltop Partners LLC	527 Park Place	Suite 100	Mishawaka	IN	46545	13F HOLDINGS REPORT	028-23043	000290981	801-115255	N	
0001104659-25-081781	30-JUN-2025	N							Carter Financial Group, INC.	222 S. Cook St.		Barrington	IL	60010	13F HOLDINGS REPORT	028-22446			N	
0000945621-25-000795	30-JUN-2025	N							Banque Transatlantique Belgium	RUE DE CRAYER 9		BRUSSELS	C9	B-1000	13F NOTICE	028-25254			N	
0001062993-25-014797	30-JUN-2025	N							CIM INVESTMENT MANAGEMENT INC	436 SEVENTH AVENUE	KOPPERS BUILDING SUITE 2600	PITTSBURGH	PA	15219	13F HOLDINGS REPORT	028-10236			N	
0001085146-25-005403	30-JUN-2025	N							Clarion Wealth Managment Partners, LLC	12500 FAIR LAKES CIRCLE	SUITE 250	FAIRFAX	VA	22033	13F HOLDINGS REPORT	028-25759	000334243	801-131858	N	
0000905148-25-003074	30-JUN-2025	N							NOMURA SECURITIES INTERNATIONAL INC	WORLDWIDE PLAZA	309 WEST 49TH STREET	NEW YORK	NY	10019	13F NOTICE	028-04983	000004297	801-72991	N	
0001085146-25-005398	31-MAR-2025	N							OAKLAND FINANCIAL CORP	34200 MOUND RD		STERLING HEIGHTS	MI	48310	13F COMBINATION REPORT	028-25735			N	
0001085146-25-005395	31-DEC-2024	N							Cherokee Insurance Co	34200 MOUND ROAD		STERLING HEIGHTS	MI	48310	13F HOLDINGS REPORT	028-25694			N	
0001085146-25-005397	31-DEC-2024	N							OAKLAND FINANCIAL CORP	34200 MOUND RD		STERLING HEIGHTS	MI	48310	13F COMBINATION REPORT	028-25735			N	
0001085146-25-005396	31-MAR-2025	N							Cherokee Insurance Co	34200 MOUND ROAD		STERLING HEIGHTS	MI	48310	13F HOLDINGS REPORT	028-25694			N	
0001172661-25-003670	30-JUN-2025	N							Wiss Private Client Advisors, LLC	100 Campus Drive, Suite 400		Florham Park	NJ	07932	13F NOTICE	028-25423	000286319	801-117284	N	
0001085146-25-005368	30-JUN-2025	N							B. Riley Wealth Advisors, Inc.	40 S. MAIN ST.	SUITE 1600	MEMPHIS	TN	38103	13F HOLDINGS REPORT	028-13634			N	
0001573876-25-000016	30-JUN-2025	N							Advisory Services Network, LLC	6600 Peachtree Dunwoody Rd.	Embassy Row 600, Suite 575	Atlanta	GA	30328	13F HOLDINGS REPORT	028-15454			N	
0001085146-25-005367	31-DEC-2024	N							CROBAN	C/O CROGHAN COLONIAL BANK - TRUST DEPT	323 CROGHAN STREET	FREMONT	OH	43420	13F HOLDINGS REPORT	028-24830			Y	This Form 13F supersedes the report erroneously filed under the period ended December 31, 2023. The registrant timely filed the report, but the period covered was entered incorrectly. This amendment corrects that error and serves as the accurate report for the 12/31/2024 reporting period.
0001172661-25-003667	30-JUN-2025	N							CONTINENTAL ADVISORS LLC	6300 Sagewood Drive	Suite H115	Park City	UT	84098-7502	13F HOLDINGS REPORT	028-10837	000109788	802-114751	N	
0001085146-25-005360	30-JUN-2025	N							ELEMENT POINTE ADVISORS, LLC	333 SE 2ND AVENUE, SUITE 2520		MIAMI	FL	33131	13F COMBINATION REPORT	028-19029	000282750	801-107214	N	
0001172661-25-003660	30-JUN-2025	N							Capital Impact Advisors, LLC	175 Federal St	Suite 875	Boston	MA	02110	13F HOLDINGS REPORT	028-16102	000168313	801-78345	N	
0001104659-25-079835	30-JUN-2025	N							Impala Asset Management LLC	217 Peruvian Avenue, Suite 2		Palm Beach	FL	33480	13F HOLDINGS REPORT	028-11248			N	
0001628280-25-040666	30-JUN-2025	N							Finward Bancorp	9204 COLUMBIA AVE		MUNSTER	IN	46321	13F HOLDINGS REPORT	028-25084			N	
0001999371-25-011568	30-JUN-2025	N							General Equity Holdings LP	45 Main Street	Suite 411	Brooklyn	NY	11201	13F HOLDINGS REPORT	028-18578	000287823	801-112549	N	
