ACCESSION_NUMBER	REPORTCALENDARORQUARTER	ISAMENDMENT	AMENDMENTNO	AMENDMENTTYPE	CONFDENIEDEXPIRED	DATEDENIEDEXPIRED	DATEREPORTED	REASONFORNONCONFIDENTIALITY	FILINGMANAGER_NAME	FILINGMANAGER_STREET1	FILINGMANAGER_STREET2	FILINGMANAGER_CITY	FILINGMANAGER_STATEORCOUNTRY	FILINGMANAGER_ZIPCODE	REPORTTYPE	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	PROVIDEINFOFORINSTRUCTION5	ADDITIONALINFORMATION
0001140361-25-042957	30-JUN-2025	Y	1	NEW HOLDINGS					Royal Bank of Canada	ROYAL BANK PLAZA	200 BAY STREET	TORONTO	A6	M5J 2J5	13F HOLDINGS REPORT	028-11396			N	
0001754960-25-000801	30-SEP-2025								Magnolia Wealth Management, LLC	1535 HONEYSUCKLE ROAD		DOTHAN	AL	36305	13F HOLDINGS REPORT	028-22227	000297598		N	
0001140361-25-042953	31-MAR-2025	Y	1	RESTATEMENT					ROYAL BANK OF CANADA	ROYAL BANK PLAZA	200 BAY STREET	TORONTO	A6	M5J 2J5	13F HOLDINGS REPORT	028-11396			N	
0001890149-25-000009	30-SEP-2025								Bell Investment Advisors, Inc	2 THEATRE SQUARE, SUITE 315		ORINDA	CA	94563	13F HOLDINGS REPORT	028-21406	000108383	028-21406	N	
0001728681-25-000011	30-SEP-2025								SYCOMORE ASSET MANAGEMENT	14 AVENUE HOCHE		PARIS	I0	75008	13F HOLDINGS REPORT	028-19409			N	
0001754960-25-000800	30-SEP-2025	Y	1	RESTATEMENT					TCFG WEALTH MANAGEMENT, LLC	28202 CABOT ROAD, SUITE 300		LAGUNA NIGUEL	CA	92677	13F HOLDINGS REPORT	028-24390			N	
0001313893-25-000007	30-SEP-2025								Maple Capital Management, Inc.	535 STONE CUTTER'S WAY		MONTPELIER	VT	05602	13F HOLDINGS REPORT	028-12099			N	
0001172661-25-005219	30-SEP-2025	N							Sulzberger Capital Advisors, Inc.	4500 BISCAYNE BOULEVARD	SUITE 205	MIAMI	FL	33137	13F HOLDINGS REPORT	028-25339	000174673		N	
0001172661-25-005216	30-SEP-2025	N							Blue Fin Capital, Inc.	91 Main Street	Suite 118	Warren	RI	02885	13F HOLDINGS REPORT	028-15760	000108451	801-56127	N	
0001172661-25-005215	31-MAR-2025	N							Blue Fin Capital, Inc.	91 Main Street	Suite 118	Warren	RI	02885	13F HOLDINGS REPORT	028-15760	000108451	801-56127	N	
0001697765-25-000007	30-SEP-2025								Achmea Investment Management B.V.	HANDELSWEG 2		ZEIST	P7	3707 NH	13F COMBINATION REPORT	028-18062			N	
0001908108-25-000002	30-SEP-2025	N							TrueWealth Financial Partners	915 118TH AVE SE	SUITE 140	BELLEVUE	WA	98005	13F HOLDINGS REPORT	028-22009			N	
0001569667-25-000013	30-SEP-2025								OARSMAN CAPITAL, INC.	790 N. WATER ST., STE 1850		MILWAUKEE	WI	53202	13F HOLDINGS REPORT	028-15412	000109993		N	
0001129770-25-000008	30-SEP-2025								CHARTIST INC /CA/	PO BOX 758		SEAL BEACH	CA	90740	13F HOLDINGS REPORT	028-06053			N	
0002034793-25-000011	30-SEP-2025								Ariadne Wealth Management, LP	1255 COAST VILLAGE RD	201A	SANTA BARBARA	CA	93108	13F HOLDINGS REPORT	028-24343	000170999	801-106829	N	
0001847772-25-000005	30-SEP-2025								EMC Capital Management	6363 WOODWAY DR	SUITE 763	HOUSTON	TX	77057	13F HOLDINGS REPORT	028-21069			N	
0001397424-25-000011	30-SEP-2025								WBI INVESTMENTS, LLC	331 NEWMAN SPRINGS ROAD	SUITE 143	RED BANK	NJ	07701	13F HOLDINGS REPORT	028-12525			N	
0001845536-25-000005	30-SEP-2025								Kensington Investment Counsel, LLC	5580 E 2ND STREET	SUITE 209	LONG BEACH	CA	90803	13F HOLDINGS REPORT	028-20923	000108012		N	
0001760444-25-000006	30-SEP-2025								Old North State Trust, LLC	1250 REVOLUTION MILL DR SUITE 152		GREENSBORO	NC	27405	13F HOLDINGS REPORT	028-19059			N	
0002097516-25-000002	30-SEP-2025								Portus Wealth Advisors, LLC	511 EAST BLVD		CHARLOTTE	NC	28203	13F HOLDINGS REPORT	028-25886			N	
0000891943-25-000011	30-SEP-2025								CENTAURUS FINANCIAL, INC.	2300 E. KATELLA AVENUE	SUITE #200	ANAHEIM	CA	92806	13F HOLDINGS REPORT	028-18315	000030833	801-56882	N	
0001172661-25-005214	30-SEP-2025	N							PCG ASSET MANAGEMENT, LLC	240 Main Street	Building D Suite 200	Gladstone	NJ	07934	13F HOLDINGS REPORT	028-24772	000148208	801-126371	N	
0000900974-25-000010	30-SEP-2025	Y	1	RESTATEMENT					Wilmington Savings Fund Society, FSB	500 DELAWARE AVENUE		WILMINGTON	DE	19801	13F HOLDINGS REPORT	028-03674			N	
0001656282-25-000008	30-SEP-2025								First Affirmative Financial Network	5475 MARK DABLING BLVD.	SUITE 108	COLORADO SPRINGS	CO	80918	13F HOLDINGS REPORT	028-21383	000109036	028-21383	N	
0001656282-25-000007	30-JUN-2025								First Affirmative Financial Network	5475 MARK DABLING BLVD.	SUITE 108	COLORADO SPRINGS	CO	80918	13F HOLDINGS REPORT	028-21383	000109036	028-21383	N	
0001475896-25-000006	30-SEP-2025								Asset Dedication, LLC	220 MONTGOMERY ST.	SUITE 1098	SAN FRANCISCO	CA	94104	13F HOLDINGS REPORT	028-17338			N	
0001951757-25-001452	30-SEP-2025								MAYPORT, LLC	300 WASHINGTON STREET	SUITE 814	NEWTON	MA	02458	13F HOLDINGS REPORT	028-22414			N	
0001862682-25-000002	30-SEP-2025	N							Caerus Investment Advisors, LLC	311 LAUREL VALLEY ROAD		WEST LAKE HILLS	TX	78746	13F HOLDINGS REPORT	028-21712			N	
0000919574-25-007111	30-SEP-2025	Y	1	RESTATEMENT	N				LANSDOWNE PARTNERS (UK) LLP	65 CURZON STREET		London	X0	W1J 8PE	13F HOLDINGS REPORT	028-16225	000172244	801-80091	N	
0001214659-25-016948	30-SEP-2025	N							Center For Asset Management LLC	3399 PGA BOULEVARD	SUITE 320	PALM BEACH GARDENS	FL	33410	13F HOLDINGS REPORT	028-20683			N	
0001105863-25-000011	30-SEP-2025								AUXIER ASSET MANAGEMENT LLC	15668 NE EILERS RD		AURORA	OR	97002	13F HOLDINGS REPORT	028-05627	000107980	801-55757	N	
0002011050-25-000006	30-SEP-2025								MOSAIC FINANCIAL GROUP, LLC	303 E. WACKER DRIVE SUITE 1675	SUITE 1675	CHICAGO	IL	60601	13F COMBINATION REPORT	028-24166	000109816		N	
0002071844-25-000489	30-JUN-2025	Y	1	RESTATEMENT					LOM Asset Management Ltd	27 REID STREET		HAMILTON	D0	HM11	13F HOLDINGS REPORT	028-25692			N	
0000826794-25-000009	30-SEP-2025								CAMPBELL CAPITAL MANAGEMENT INC	7301 SW 57 CT	SUITE 540	MIAMI	FL	33143	13F HOLDINGS REPORT	028-19417	000106130		N	
0002011649-25-000008	30-SEP-2025								UP STRATEGIC WEALTH INVESTMENT ADVISORS LLC	444 LIBERTY AVE	SUITE 1400	PITTSBURGH	PA	15222	13F HOLDINGS REPORT	028-23748	000166742	801-130392	N	
0001398344-25-021081	30-SEP-2025	N							Faithward Advisors, LLC	275 HESS BLVD		LANCASTER	PA	17601	13F HOLDINGS REPORT	028-19635	000116978	801-61471	N	
0001062993-25-016949	30-SEP-2025	N							Sunbelt Securities, Inc.	2700 POST OAK BLVD, SUITE 1700		HOUSTON	TX	77056	13F HOLDINGS REPORT	028-16583	000042180	801-71479	N	
0001062993-25-016947	30-SEP-2025	N							CAPTRUST FINANCIAL ADVISORS	4208 SIX FORKS ROAD, SUITE 1700		RALEIGH	NC	27609	13F HOLDINGS REPORT	028-14079	000175112	801-62193	N	
0001082339-25-000008	30-SEP-2025								COLDSTREAM CAPITAL MANAGEMENT INC	ONE 100TH AVENUE NE	SUITE 102	BELLEVUE	WA	98004	13F HOLDINGS REPORT	028-04387			N	
0001437749-25-035687	30-SEP-2025	Y	1	NEW HOLDINGS					Aspire Private Capital, LLC	19410 JETTON RD SUITE 110		Cornelius	NC	28031	13F HOLDINGS REPORT	028-19206			N	
0001951757-25-001451	30-SEP-2025								AVITY INVESTMENT MANAGEMENT INC.	80 FIELD POINT ROAD		GREENWICH	CT	06830	13F HOLDINGS REPORT	028-03587			N	
0002063364-25-000280	30-SEP-2025								PENOBSCOT WEALTH MANAGEMENT	ONE MONUMENT SQUARE	SUITE 501	PORTLAND	ME	04101	13F HOLDINGS REPORT	028-21311	000286211	801-108988	N	
0001951757-25-001450	30-SEP-2025								AdviceOne Advisory Services, LLC	100 WESTERN BOULEVARD		GLASTONBURY	CT	06033	13F HOLDINGS REPORT	028-25645			N	
0001062993-25-016944	30-SEP-2025	N							Aldebaran Financial Inc.	200 COLONIAL HEIGHTS RD.		KINGSPORT	TN	37663	13F HOLDINGS REPORT	028-15879			N	
0001104659-25-114007	30-SEP-2025	Y	1	RESTATEMENT	N				Danica Pension, Livsforsikringsaktieselskab	BERNSTORFFGADE 40		COPENHAGEN V	G7	1577	13F HOLDINGS REPORT	028-25850			N	
0001104659-25-114006	30-SEP-2025	Y	1	RESTATEMENT	N				DANSKE BANK A/S	HOLMENS KANAL 2-12		COPENHAGEN K	G7	1092	13F HOLDINGS REPORT	028-25849			N	
0001062993-25-016940	30-SEP-2025	Y	1	RESTATEMENT					Mizuho Markets Cayman LP	1271 AVENUE OF THE AMERICAS	FL 2,3,4,18,19	NEW YORK	NY	10020	13F HOLDINGS REPORT	028-19904			N	
0001964189-25-000005	30-SEP-2025	Y	1	RESTATEMENT					Auto-Owners Insurance Co	P.O. BOX 30660		LANSING	MI	48909-8160	13F HOLDINGS REPORT	028-23026			N	
0001281761-25-000084	30-SEP-2025	Y	1	NEW HOLDINGS					REGIONS FINANCIAL CORP	1900 FIFTH AVENUE NORTH		BIRMINGHAM	AL	35203	13F HOLDINGS REPORT	028-10938			N	
0001281761-25-000083	30-SEP-2025								REGIONS FINANCIAL CORP	1900 FIFTH AVENUE NORTH		BIRMINGHAM	AL	35203	13F HOLDINGS REPORT	028-10938			N	
0001963355-25-000013	30-SEP-2025								Caitong International Asset Management Co., Ltd	UNIT 2401-05, GRAND MILLENNIUM PLAZA	181 QUEEN'S ROAD CENTRAL	HONG KONG	K3	00000	13F HOLDINGS REPORT	028-25133			N	
0001844830-25-000005	30-SEP-2025								Lakehouse Capital Pty Ltd	SUITE 3, LEVEL 9, 20 HUNTER STREET		SYDNEY NSW	C3	2000	13F HOLDINGS REPORT	028-20616			N	
0001598304-25-000003	30-SEP-2025								GM Advisory Group, LLC	400 BROADHOLLOW ROAD	SUITE 301	MELVILLE	NY	11747	13F HOLDINGS REPORT	028-15726	000147592	801-69418	N	
0001844830-25-000006	30-SEP-2025	Y	1	RESTATEMENT					Lakehouse Capital Pty Ltd	SUITE 3, LEVEL 9, 20 HUNTER STREET		SYDNEY NSW	C3	2000	13F HOLDINGS REPORT	028-20616			N	
0001076964-25-000002	30-SEP-2025								Provident Investment Management, Inc.	39555 ORCHARD HILL PLACE, STE. 139		NOVI	MI	48375	13F HOLDINGS REPORT	028-13006	000106976	801-16412	N	
0001012622-25-000003	30-SEP-2025	N							ORACLE INVESTMENT MANAGEMENT INC	500 WEST PUTNAM AVENUE		GREENWICH	CT	06830	13F HOLDINGS REPORT	028-05592	000138127	801-73596	N	
0001992879-25-000005	30-SEP-2025								Second Line Capital, LLC	2800 VETERANS MEMORIAL BLVD.	SUITE 220	METAIRIE	LA	70002	13F HOLDINGS REPORT	028-23666	000324386		N	
0001628280-25-052950	30-SEP-2025	Y	1	NEW HOLDINGS	N				Silvant Capital Management LLC	3333 PIEDMONT ROAD, NE	SUITE 1500	ATLANTA	GA	30305	13F HOLDINGS REPORT	028-18744	000146025	801-68741	N	
0001573876-25-000020	30-SEP-2025	N							Advisory Services Network, LLC	6600 Peachtree Dunwoody Rd.	Embassy Row 600, Suite 575	Atlanta	GA	30328	13F HOLDINGS REPORT	028-15454			N	
0001764970-25-000008	30-SEP-2025								Kozak & Associates, Inc.	1745 SHEA CENTER DRIVE, SUITE 345		HIGHLANDS RANCH	CO	80129	13F HOLDINGS REPORT	028-21058			N	
0001951757-25-001448	30-SEP-2025								Del-Sette Capital Management, LLC	1332 UNION		SCHENECTADY	NY	12308	13F HOLDINGS REPORT	028-21540			N	
0001062993-25-016928	30-SEP-2025	N							CIM INVESTMENT MANAGEMENT INC	436 SEVENTH AVENUE	KOPPERS BUILDING SUITE 2600	PITTSBURGH	PA	15219	13F HOLDINGS REPORT	028-10236			N	
0002045258-25-000006	30-SEP-2025								Copley Financial Group, Inc.	2650 CAMINO DEL RIO N #350		SAN DIEGO	CA	92108	13F HOLDINGS REPORT	028-24516	000283070	801-119967	N	
0001172661-25-005202	30-SEP-2025	N							DigitalBridge Group, Inc.	750 Park of Commerce Drive	Suite 210	Boca Raton	FL	33487	13F HOLDINGS REPORT	028-19781			N	
0001844709-25-000009	30-SEP-2025	Y	1	RESTATEMENT					San Luis Wealth Advisors LLC	735 TANK FARM ROAD	SUITE 264	SAN LUIS OBISPO	CA	93401	13F HOLDINGS REPORT	028-20584			N	
0001172661-25-005201	30-SEP-2025	N							Raab & Moskowitz Asset Management LLC	10 Townsquare, Suite 100		Chatham	NJ	07928	13F HOLDINGS REPORT	028-16254	000111987	801-58135	N	
0001665337-25-000008	30-SEP-2025								Integrated Investment Consultants, LLC	40950 WOODWARD AVE	SUITE 350	BLOOMFIELD HILLS	MI	48304	13F HOLDINGS REPORT	028-17289	000175299		N	
0001353395-25-000004	30-SEP-2025								Fulcrum Asset Management LLP	MARBLE ARCH HOUSE	66 SEYMOUR STREET	LONDON	X0	W1H 5BT	13F HOLDINGS REPORT	028-20335	000137661	801-72206	N	
0001376772-25-000007	30-SEP-2025								Dorsey Wright & Associates	790 EAST COLORADO BLVD., STE. 550		PASADENA	CA	91101	13F HOLDINGS REPORT	028-12076			N	
0001754960-25-000799	30-SEP-2025								TCFG WEALTH MANAGEMENT, LLC	28202 CABOT ROAD, SUITE 300		LAGUNA NIGUEL	CA	92677	13F HOLDINGS REPORT	028-24390			N	
0001993888-25-000019	30-SEP-2025								Pictet Asset Management Holding SA	ROUTE DES ACACIAS 60		CAROUGE	V8	1227	13F HOLDINGS REPORT	028-23450			N	
0002085853-25-000286	30-SEP-2025	N							Vertex Planning Partners, LLC	3000 Woodcreek Drive	Suite 100	Downers Grove	IL	60515	13F COMBINATION REPORT	028-22820	000316839	801-122980	N	
0001420506-25-003460	30-SEP-2025	Y	1	RESTATEMENT	N				RDST Capital LLC	1700 WESTLAKE AVE N	SUITE 200	SEATTLE	WA	98109	13F HOLDINGS REPORT	028-22317	000284645		N	
0001882673-25-000008	30-SEP-2025								US Asset Management LLC	211 N. WHITFIELD STREET	SUITE 201	PITTSBURGH	PA	15206	13F HOLDINGS REPORT	028-21392			N	
0001193125-25-285274	30-SEP-2025	N							Livforsakringsbolaget Skandia, Omsesidigt	Lindhagensgatan 86		Stockholm	V7	SE-106 55	13F HOLDINGS REPORT	028-14938			N	
0001214659-25-016845	30-SEP-2025	N							Apexium Financial, LP	1920 Mckinney Avenue	Suite 700	Dallas	TX	75201	13F HOLDINGS REPORT	028-19109			N	
0001554427-25-000006	30-SEP-2025								U S WEALTH GROUP, LLC.	7600 JERICHO TPKE	SUITE 303	WOODBURY	NY	11797	13F HOLDINGS REPORT	028-25023	000141062		N	
0001894830-25-000007	30-SEP-2025								Corus Family Wealth Advisors	5900 S. LAKE FOREST DR.	SUITE 280	MCKINNEY	TX	75070	13F HOLDINGS REPORT	028-21519	000114702		N	
0001802494-25-000003	30-SEP-2025	N							Stonebridge Financial Planning Group, LLC	203 HILLCREST STREET		ORLANDO	FL	32801	13F HOLDINGS REPORT	028-19783	000154616	801-113696	N	
0001729443-25-000002	30-SEP-2025	N							Garrett Wealth Advisory Group, LLC	201 FORT WORTH HWY.		WEATHERFORD	TX	76086	13F HOLDINGS REPORT	028-19448			N	
0001853322-25-000011	30-SEP-2025	Y	1	RESTATEMENT					DARK FOREST CAPITAL MANAGEMENT LP	60 CHARLTON STREET	5TH FLOOR	NEW YORK	NY	10014	13F HOLDINGS REPORT	028-21354	000031251	801-120433	N	
0001905128-25-000010	30-SEP-2025								American Trust	2525 HARRODSBURG RD	SUITE 300	LEXINGTON	KY	40504	13F COMBINATION REPORT	028-22385			N	
0001806366-25-000002	30-SEP-2025	N							Westshore Wealth, LLC	4041 MACARTHUR BLVD	STE 160	NEWPORT BEACH	CA	92660	13F HOLDINGS REPORT	028-20213	000283843	801-108664	N	
0002063952-25-000004	30-SEP-2025								Papamarkou Wellner Asset Management inc.	430 PARK AVE	17TH FLOOR	NEW YORK	NY	10022	13F HOLDINGS REPORT	028-25565	000131796	028-25565	N	
0001214659-25-016818	30-SEP-2025	Y	1	RESTATEMENT	N				Proficio Capital Partners LLC	ONE GATEWAY CENTER	300 WASHINGTON STREET SUITE 951	NEWTON	MA	02458	13F HOLDINGS REPORT	028-17062			N	
0002097037-25-000003	30-SEP-2025	N							Equity Wealth Partners, LLC	4700 S Cedar Crest Ct		Independence	MO	64055	13F HOLDINGS REPORT	028-25881	000317224	801-122943	N	
0001343916-25-000005	30-SEP-2025								IMS Capital Management	8995 SE OTTY ROAD		PORTLAND	OR	97086	13F HOLDINGS REPORT	028-11531			N	
0001964189-25-000004	30-SEP-2025								Auto-Owners Insurance Co	P.O. BOX 30660		LANSING	MI	48909-8160	13F HOLDINGS REPORT	028-23026			N	
0001104659-25-113165	30-SEP-2025	N							Hilltop Partners LLC	527 PARK PLACE	SUITE 100	MISHAWAKA	IN	46545	13F HOLDINGS REPORT	028-23043	000290981	801-115255	N	
